CQ_ID,Unnamed: 1,Refactored CQ,Answer,Concrete Answer,Source,Design Pattern,Randomizable,Persona,Category,Beats
CQ-E22,,Which organization failed to archive the broadcast of [Event]?,Organization did not preserve the Philadelphia broadcast of [Event].,ABC did not preserve the Philadelphia broadcast of Live Aid.,Wikipedia / Music Documentaries,"Event–Preservation Gap (schema:BroadcastEvent, hasMissingFootage)",False,Emma,Exit,"Legacy, Audience Reflection"
CQ-E23,,What is the preservation status of [Event] broadcasts at [Venue]?,The broadcast from [Venue] was [preserved/deleted] by [Organization].,The broadcast from Wembley was preserved by the BBC.,Wikipedia / BBC / ABC,"Event–Venue–Archive Status (schema:subEvent, archivalStatus)",False,Emma,Exit,"Legacy, Audience Reflection"
CQ-E24,,Why is [MusicGroup]’s performance at [Event] considered iconic?,"[MusicGroup]’s performance at [Event] is widely praised for its energy, crowd engagement, and cultural impact.",Queen’s performance at Live Aid is widely praised for its energy and crowd engagement.,Rolling Stone / BBC / Music Critics,"Artist–Performance–Legacy (schema:review, schema:mainEntityOfPage)",True,Emma,Exit,"Legacy, Audience Reflection"
CQ-E27,,What creative milestones defined [MusicGroup]’s career before and after [Event]?,"[MusicGroup] achieved major milestones before and after [Event], such as [Work1] in [Year1] and [Work2] in [Year2].","Before Live Aid, Queen released 'The Works' in 1984, and after the concert, they recorded 'A Kind of Magic' in 1986.",Wikipedia / Discogs / Music Historians,Artist–Career Phase (schema:MusicGroup → schema:workFeatured → schema:CreativeWork),True,Emma,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L1,,What type of event was [Event]?,[Event] was a global benefit concert held to raise funds for humanitarian relief.,The Live Aid concert was held on 13 July 1985.,Wikipedia,Event Type Pattern (schema:Event),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L2,,How commercially successful was the Band Aid single 'Do They Know It's Christmas?' in the UK?,[Song] was released as a charity single in [Year] and became one of the best-selling singles in [Country].,The Band Aid single 'Do They Know It's Christmas?' was released in 1984 and became one of the UK's best-selling charity singles.,Wikipedia / Official Charts,Song–Commercial Performance (schema:MusicRecording → chartPosition),True,Luca,Entry,"Context Setup, Historical Hook"
CQ-L3,,Who were the organizers of [Event]?,[Event] was organized by [Person1] and [Person2] to raise funds for [Cause].,The event was organized by Bob Geldof and Midge Ure to raise funds for famine relief in Ethiopia.,Wikipedia / BBC,Event–Agent Pattern (schema:organizer → Person),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L4,,What were the locations that hosted [Event]?,[Event] was hosted at [Venue1] in [City1] and [Venue2] in [City2].,The concerts were hosted at Wembley Stadium in London and JFK Stadium in Philadelphia.,Wikipedia,Event–Location Pattern (schema:Event → location),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L5,,What was the attendance at each venue of [Event]?,[Event] had [Attendance1] at [Venue1] and [Attendance2] at [Venue2].,"Live Aid had about 72,000 at Wembley Stadium and 89,484 at JFK Stadium.",https://en.wikipedia.org/wiki/Live_Aid,Event–Location–Attendance Pattern (schema:Event → location → attendeeCount),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L6,,How many satellites were used during [Event]’s broadcast?,[Number] satellites were used to broadcast [Event].,Live Aid used 13 military satellites for global transmission.,https://www.oldvictheatre.com/stories/10-facts-about-the-history-of-live-aid,Event–BroadcastInfrastructure Pattern (schema:BroadcastEvent → satelliteCount),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L7,,What was the global TV audience size for [Event]?,[Event] was watched by an estimated [Viewers] people worldwide.,Live Aid was viewed by approximately 1.9 billion people in 150 countries.,https://en.wikipedia.org/wiki/Live_Aid,Event–AudienceReach Pattern (schema:BroadcastEvent → audience),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L8,,When did [Event] take place?,[Event] occurred on [Date].,Live Aid took place on 13 July 1985.,https://en.wikipedia.org/wiki/Live_Aid,Event–Date Pattern (schema:Event → startDate),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L9,,Who founded [Event]?,[Event] was founded by [Founder1] and [Founder2].,Live Aid was founded by Bob Geldof and Midge Ure.,https://en.wikipedia.org/wiki/Live_Aid,Event–Founders Pattern (schema:Event → organizer),False,Luca,Entry,"Context Setup, Historical Hook"
CQ-L10,,What was [MusicGroup]’s full setlist at [Event]?,"[MusicGroup] performed a [Number]-song setlist at [Event], including [Song1], [Song2], and [Song3].","Queen performed a six-song medley at Live Aid including Bohemian Rhapsody, Radio Ga Ga, Hammer to Fall, Crazy Little Thing Called Love, We Will Rock You, and We Are the Champions.",MusicBrainz / Setlist.fm,Performance–Setlist Pattern (schema:MusicEvent → track),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L11,,Which [MusicGroup] song was the third in their [Event] setlist,[Song] was the third track performed by [MusicGroup] during their set at [Event].,"“Hammer to Fall” was the third song in Queen’s six-song setlist at Live Aid 1985, and it was a staple of their Works and Magic tours.",Setlist.fm / MusicBrainz,Performance–Setlist Position Pattern (schema:MusicEvent → track → position),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L12,,What visual moment involving performer occurred during [MusicGroup]’s performance of [Song] during [Event]?,"During [Song], [Performer] shared a notable visual moment with a [Entity], which became a visual highlight of [Event].","During “Hammer to Fall,” Freddie Mercury broke into a spontaneous ballet with a BBC cameraman, becoming a visual highlight.",BBC / Rolling Stone / Event Footage,Performance–Moment Pattern (schema:MusicEvent → hasPart → schema:CreativeWork or schema:MediaObject),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L13,,What audience interaction occurred during [MusicGroup]’s performance of [Song] at [Event]?,"During [Song], the audience engaged with [MusicGroup] by [Interaction Type], which became a defining moment of [Event].","During “Radio Ga Ga,” Mercury got the entire Wembley Stadium to sing along with the chorus, despite battling laryngitis.",BBC / Event Reviews / Fan Recordings,Performance–Audience Interaction Pattern (schema:MusicEvent → audience → interactionType),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L14,,Who were the founding members of [MusicGroup]?,"[MusicGroup] was formed by [Member1], [Member2], and [Member3] in [City/Country] in [Year].","Queen are a British rock band formed in London in 1970 by Freddie Mercury, Brian May, and Roger Taylor, later joined by John Deacon.",Wikipedia / MusicBrainz,"Artist–Formation Pattern (schema:MusicGroup → foundingDate, schema:member)",True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L15,,What genre influenced [MusicGroup]’s early music?,"[MusicGroup]'s early music was influenced by genres such as [Genre1], [Genre2], and [Genre3].","Queen’s early music was influenced by progressive rock, hard rock, and heavy metal.",Wikipedia / AllMusic / MusicBrainz,Artist–Genre Pattern (schema:MusicGroup → genre),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L16,,How did [MusicGroup]’s musical style evolve over time?,"[MusicGroup]'s musical style evolved from [Early Genre] to include [Later Genre], reflecting shifts in popular trends and artistic direction.","Queen’s early sound drew from progressive rock, hard rock and heavy metal, later shifting to arena rock and pop rock.",AllMusic / Rolling Stone,Artist–Style Evolution Pattern (schema:MusicGroup → genre + temporal qualifiers),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L17,,What genre did [MusicGroup] incorporate later in their career?,"In their later years, [MusicGroup] incorporated genres like [Genre1] and [Genre2] into their sound.","In their later years, Queen’s music incorporated arena rock and pop rock styles.",AllMusic / Discogs / Wikipedia,Artist–Later Genre Pattern (schema:MusicGroup → genre → dateQualifier),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L18,,Why is [MusicGroup]’s [Event] performance considered iconic?,"[MusicGroup]'s [Event] performance is considered iconic due to [Element1] (e.g., vocal delivery, crowd interaction, cultural relevance).",Queen’s set is widely considered one of the most iconic live performances in rock history.,BBC / Rolling Stone / Music Critics,Performance–Legacy Pattern (schema:MusicEvent → review → schema:Review),True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L19,,What was the average length of [Event]?,[Event] lasted approximately [Duration] hours and featured over [Number] musical acts.,The event ran for approximately 16 hours and featured over 60 musical acts.,Wikipedia / Event Archives,"Event–Duration Pattern (schema:Event → duration, performerCount)",False,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L20,,How many viewers watched [Event] globally?,[Event] reached an estimated global audience of [ViewerCount] across more than [CountryCount] countries.,It was broadcast to an estimated 1.5 billion viewers across more than 150 countries.,BBC / Event Archives / Wikipedia,Event–Broadcast Reach Pattern (schema:BroadcastEvent → audience),False,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L21,,What facilitated the simultaneous global broadcast of [Event]?,[Event] was broadcast simultaneously via satellite uplinks and coordinated scheduling between [Venue1] and [Venue2].,"The concert was broadcast live via satellite uplinks, enabling synchronized performances across two continents.",BBC / Broadcast History Docs,"Event–Broadcast Technology Pattern (schema:BroadcastEvent → broadcastOfEvent, schema:BroadcastService)",False,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L22,,How were performance scheduled across the venues during [Event]?,Performances at [Event] alternated between [Venue1] and [Venue2] to maintain global continuity and maximize coverage.,Performance slots were scheduled to alternate between the London and Philadelphia stages.,Event Schedule Records / Wikipedia,Composite Event Schedule Pattern (schema:Event → subEvent → startDate/time),False,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L23,,What songs were performed by [MusicGroup] at [Venue]?,"[MusicGroup] performed a 21-minute medley at [Venue], including songs such as [Song1], [Song2], and [Song3].","Queen performed a 21-minute set at Wembley Stadium, including songs such as 'Bohemian Rhapsody,' 'Radio Ga Ga,' and 'We Are the Champions.'",Setlist.fm / MusicBrainz,"Performance–Venue–Setlist Pattern (schema:MusicEvent → location, track)",True,Luca,Core,"Performance Detail, Cultural Impact, Behind the Scenes"
CQ-L24,,Which organization preserved the broadcast of [Event]?,The broadcast from [Venue] was preserved by [Organization].,The British Broadcasting Corporation (BBC) recorded and archived the full Wembley concert.,BBC Archives / Wikipedia,Event–Venue–Archive Pattern (schema:BroadcastEvent → provider),False,Luca,Exit,"Legacy, Audience Reflection"
CQ-L25,,Which organization deleted the broadcast of [Event]?,The broadcast from [Venue] was not preserved by [Organization].,The American Broadcasting Company (ABC) did not retain the Philadelphia master tapes.,Wikipedia / Music Documentaries,Event–Venue–Preservation Gap Pattern (schema:BroadcastEvent → hasMissingFootage),False,Luca,Exit,"Legacy, Audience Reflection"
CQ-L26,,What was the total amount raised by [Event]?,[Event] raised over [Amount] for [Cause].,Live Aid raised over $125 million (USD) for famine relief.,Wikipedia / BBC / Event Archives,Event–Outcome Pattern (schema:Event → MonetaryAmount),False,Luca,Exit,"Legacy, Audience Reflection"
CQ-L27,,Did [Event] serve as a model for subsequent charitable music events?,[Event] inspired later benefit concerts such as [RelatedEvent].,The event inspired later benefit concerts such as Live 8.,Music History Articles / Wikipedia,Event–Legacy Pattern (schema:Event → subjectOf → subsequentEvent),True,Luca,Exit,"Legacy, Audience Reflection"
