CQ_ID,Refactored CQ,Answer,Concrete Answer,Beats (normalized list),RetrievalMode,,,,,
CQ-E15,What genre are associated with [MusicGroup]?,"[MusicGroup] is associated with genres such as [Genre1], [Genre2], and [Genre3].","Queen is associated with rock, hard rock, and glam rock.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E16,What enabled the global broadcast of [Event]?,[Event] was broadcast globally via satellite uplinks and international television networks.,Live Aid was broadcast globally via satellite uplinks and television networks.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E17,What were the challenges in organizing [Event]?,"Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.","Coordinating two venues, artist schedules, and live global broadcasts presented logistical and technical challenges.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E18,How did [Event] influence future benefit concerts?,[Event] set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,Live Aid set the standard for global fundraising concerts and inspired events like Live 8 and Global Citizen.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E19,What were the reactions of the audience or media to [MusicGroup]’s performance at [Event]?,[MusicGroup]’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,Queen’s performance was widely acclaimed by critics and praised by audiences for its energy and charisma.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E20,How much money was raised by [Event]?,[Event] raised over $125 million for famine relief efforts.,Live Aid raised over $125 million for famine relief efforts.,"['Legacy & Reflection', 'Audience Interaction']",KG,,,,,
CQ-E21,Which organization archived the broadcast of [Event]?,Organization archived the Wembley broadcast of [Event].,The BBC archived the Wembley broadcast of Live Aid.,"['Legacy & Reflection', 'Audience Interaction']",KG,,,,,
CQ-E22,Which organization failed to archive the broadcast of [Event]?,Organization did not preserve the Philadelphia broadcast of [Event].,ABC did not preserve the Philadelphia broadcast of Live Aid.,"['Legacy & Reflection', 'Audience Interaction']",KG,,,,,
CQ-E23,What is the preservation status of [Event] broadcasts at [Venue]?,The broadcast from [Venue] was [preserved/deleted] by [Organization].,The broadcast from Wembley was preserved by the BBC.,"['Legacy & Reflection', 'Audience Interaction']",KG,,,,,
CQ-E24,Why is [MusicGroup]’s performance at [Event] considered iconic?,"[MusicGroup]’s performance at [Event] is widely praised for its energy, crowd engagement, and cultural impact.",Queen’s performance at Live Aid is widely praised for its energy and crowd engagement.,"['Legacy & Reflection', 'Audience Interaction']",KG,,,,,
CQ-E27,What creative milestones defined [MusicGroup]’s career before and after [Event]?,"[MusicGroup] achieved major milestones before and after [Event], such as [Work1] in [Year1] and [Work2] in [Year2].","Before Live Aid, Queen released 'The Works' in 1984, and after the concert, they recorded 'A Kind of Magic' in 1986.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L4,What were the locations that hosted [Event]?,[Event] was hosted at [Venue1] in [City1] and [Venue2] in [City2].,The concerts were hosted at Wembley Stadium in London and JFK Stadium in Philadelphia.,"['Introduction', 'Context Setup', 'Historical Hook']",KG,,,,,
CQ-L5,What was the attendance at each venue of [Event]?,[Event] had [Attendance1] at [Venue1] and [Attendance2] at [Venue2].,"Live Aid had about 72,000 at Wembley Stadium and 89,484 at JFK Stadium.","['Context Setup', 'Historical Hook']",KG,,,,,
CQ-L6,How many satellites were used during [Event]’s broadcast?,[Number] satellites were used to broadcast [Event].,Live Aid used 13 military satellites for global transmission.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-L7,What was the global TV audience size for [Event]?,[Event] was watched by an estimated [Viewers] people worldwide.,Live Aid was viewed by approximately 1.9 billion people in 150 countries.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-L8,When did [Event] take place?,[Event] occurred on [Date].,Live Aid took place on 13 July 1985.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-L9,Who founded [Event]?,[Event] was founded by [Founder1] and [Founder2].,Live Aid was founded by Bob Geldof and Midge Ure.,"['Context Setup', 'Historical Hook']",KG,,,,,
CQ-L10,What was [MusicGroup]’s full setlist at [Event]?,"[MusicGroup] performed a [Number]-song setlist at [Event], including [Song1], [Song2], and [Song3].","Queen performed a six-song medley at Live Aid including Bohemian Rhapsody, Radio Ga Ga, Hammer to Fall, Crazy Little Thing Called Love, We Will Rock You, and We Are the Champions.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L11,Which [MusicGroup] song was the third in their [Event] setlist,[Song] was the third track performed by [MusicGroup] during their set at [Event].,"“Hammer to Fall” was the third song in Queen’s six-song setlist at Live Aid 1985, and it was a staple of their Works and Magic tours.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L14,Who were the founding members of [MusicGroup]?,"[MusicGroup] was formed by [Member1], [Member2], and [Member3] in [City/Country] in [Year].","Queen are a British rock band formed in London in 1970 by Freddie Mercury, Brian May, and Roger Taylor, later joined by John Deacon.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L15,What genre influenced [MusicGroup]’s music?,"[MusicGroup]'s early music was influenced by genres such as [Genre1], [Genre2], and [Genre3].","Queen’s early music was influenced by progressive rock, hard rock, and heavy metal.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L20,How many viewers watched [Event] globally?,[Event] reached an estimated global audience of [ViewerCount] across more than [CountryCount] countries.,It was broadcast to an estimated 1.5 billion viewers across more than 150 countries.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L21,What facilitated the simultaneous global broadcast of [Event]?,[Event] was broadcast simultaneously via satellite uplinks and coordinated scheduling between [Venue1] and [Venue2].,"The concert was broadcast live via satellite uplinks, enabling synchronized performances across two continents.","['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-L22,How were performance scheduled across the venues during [Event]?,Performances at [Event] alternated between [Venue1] and [Venue2] to maintain global continuity and maximize coverage.,Performance slots were scheduled to alternate between the London and Philadelphia stages.,"['Performance Detail', 'Cultural Impact', 'Behind the Scenes']",KG,,,,,
CQ-E28,What instruments were used in [Event]?,[Instrument] was used during performances at [Event].,"Example: At Live Aid 1985, piano, electric guitar, and drums were used across performances.","['Context Setup', 'Performance Detail']",KG,,,,,
CQ-L28,Which instruments did [MusicArtist] play during [Event]?,[MusicArtist] played [Instrument] during [Event].,"Example: At Live Aid 1985, Freddie Mercury played piano; Brian May played electric guitar.",['Performance Detail'],KG,,,,,
CQ-H-AF1,What are some notable facts about the music artist {artist}?,[Hybrid answer populated via KG + external link],Example populated from KG and external source.,"[‘Artist Focus’, 'Performance Detail’]",Hybrid,,,,,
CQ-H-SF1,What are some notable facts about the songs by {artist}?,[Hybrid answer populated via KG + external link],Example populated from KG and external source.,['Performance Detail'],Hybrid,,,,,
CQ-H-GS1,What are the lyrics to the songs performed by {artist}?,[Hybrid answer populated via KG + external link],Example populated from KG and external source.,['Performance Detail'],Hybrid,,,,,
